ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/13309,Zeplin Marmara 2 Evleri - B19,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6  İhlas Marmara Evleri 2 Kısım A Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9873012169771,28.6554976720304,Europe
ŞRJ/13310,Zeplin Marmara 2 Evleri - B24,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6  İhlas Marmara Evleri 2 Kısım B 24blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9873012169771,28.6554976720304,Europe
ŞRJ/13311,Zeplin Marmara 2 Evleri - B25,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6/D /B25 Blok Ortak Mahal  İhlas Marmara Evleri 2 Kısım A Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9864430915729,28.6571309061312,Europe
ŞRJ/13312,Zeplin Marmara 2 Evleri - B30,Kavaklı Mahallesi Yeşilyurt Caddesi  No:2  İhlas Marmara Evleri 2.kısım 3.ada B30 Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9873012169771,28.6554976720304,Europe
ŞRJ/13313,Zeplin Marmara 2 Evleri - B34,Kavaklı Mahallesi Yeşilyurt Caddesi  No:2  İhlas Marmara Evleri 2.kısım 3.ada B34 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9873012169771,28.6554976720304,Europe
ŞRJ/13314,Zeplin Marmara 2 Evleri - C3,Kavaklı Mahallesi Yeşilyurt Caddesi  No:5  İhlas Marmara Evleri 2.kısım C3 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9864689793889,28.6579862305882,Europe
ŞRJ/13315,Zeplin Marmara 2 Evleri - C6,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6  İhlas Marmara Evleri 2.kısım C6 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9875173396179,28.6555108313075,Europe
ŞRJ/13316,Zeplin Marmara 2 Evleri - C10,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6/T  Hlas Marmara Evleri 2.kısım C10 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9867816787183,28.6550769843402,Europe
ŞRJ/13317,Zeplin Marmara 2 Evleri - C12,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6/G  İhlas Marmara Evleri 2.kısım C12 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9858310021429,28.657092182406,Europe
ŞRJ/13318,Zeplin Marmara 2 Evleri - C16,Kavaklı Mahallesi Yeşilyurt Caddesi  No:C16  İhlas Marmara Evleri 2.kısım C16 Blok Ortak Mahal Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9858310021429,28.657092182406,Europe
